ID,RoyalDutchShell,ExxonMobile
113,54.049999,62.509998
114,54.5,62.509998
115,54.759998,62.599998
116,54.650002,63.099998
117,54.439999,63.130001
118,54.169998,61.939999
119,54.09,61.099998
120,52.830002,60.07
121,52.91,59.099998
122,52.860001,58.470001
123,51.189999,57.290001
124,50.220001,57.07
125,49.529999,56.610001
126,50.009998,56.57
127,50.52,57.459999
128,51.73,58.43
129,53.32,58.810001
130,53.509998,58.779999
131,53.509998,58.939999
132,54.900002,59.419998
133,55.349998,59.259998
134,55.84,59.27
135,54.709999,57.959999
136,54.91,58.43
137,54.810001,58.950001
138,53.869999,58.169998
139,55.869999,59.380001
140,56.459999,59.720001
141,56.639999,60.389999
142,56.810001,60.810001
143,55.91,60.91
144,55.98,60.34
145,55.419998,59.68
146,57.849998,61.939999
147,58.560001,62.720001
148,57.950001,62.720001
149,57.700001,62.709999
150,57.830002,61.970001
151,58.169998,62.450001
152,58.07,61.93
153,55.939999,60.389999
154,55.400002,60.23
155,55.470001,59.91
156,55.459999,59.880001
157,56.09,60.82
158,56.029999,60.150002
159,54.459999,59.290001
160,53.810001,58.889999
161,53.900002,59.5
162,53.169998,58.939999
163,53.259998,58.91
164,52.939999,58.48
165,54.23,59.799999
166,53.09,59
167,53.049999,59.110001
168,55.029999,60.91
169,55.439999,61.060001
170,56.279999,61.32
171,55.240002,60.549999
172,56.220001,60.75
173,56.209999,61.049999
174,56.66,61.200001
175,57.330002,61
176,57.830002,61.009998
177,58.34,61
178,58.779999,60.970001
179,58.240002,60.779999
180,59.389999,61.549999
181,59.509998,61.540001
182,59.139999,61.450001
183,58.950001,61.150002
184,60.299999,61.75
185,60.310001,61.709999
186,60.540001,62.060001
187,60.529999,61.59
188,60.299999,61.790001
189,61.779999,62.540001
190,60.830002,62.189999
191,62.310001,63.259998
192,62.540001,63.939999
193,62.700001,63.849998
194,62.889999,64.379997
195,62.869999,64.550003
196,62.610001,64.699997
197,63.220001,65.040001
198,63.650002,65.300003
199,63.529999,65.190002
200,64.160004,66.279999
201,62.259998,65.120003
202,63,66.010002
203,62.470001,66.32
204,62.869999,66.339996
205,62.830002,66.199997
206,63.41,66.529999
207,62.75,65.669998
208,63.790001,66.220001
209,64.93,66.489998
210,65.5,66.949997
211,67.349998,67.839996
212,67.190002,67.970001
213,68.290001,69.379997
214,67.910004,70
215,66.870003,70.32
216,65.629997,70.629997
217,66.099998,71.129997
218,66.339996,71.830002
219,65.849998,70.989998
220,65.449997,70.480003
221,64.040001,68.940002
222,64.32,69.010002
223,65.550003,70.309998
224,65.440002,70.540001
225,64.32,70.190002
226,62.59,68.980003
227,63.119999,69.879997
228,62.23,69.230003
229,61.400002,69.449997
230,60.669998,69.559998
231,62.290001,71.330002
232,63.27,71.480003
233,63.869999,71.190002
234,63.84,71.309998
235,64.239998,71.459999
236,64.459999,71.849998
237,64.290001,72
238,65,72.18
239,65.419998,72.360001
240,65.959999,72.18
241,64.75,71.849998
242,64.879997,72.220001
243,64.339996,72.169998
