ID,DateTime,Year,Month,Day,Hour,Temperature
316,14/10/2016 03:00,2016,10,14,3,10.3
317,14/10/2016 04:00,2016,10,14,4,10.7
318,14/10/2016 05:00,2016,10,14,5,10.8
319,14/10/2016 06:00,2016,10,14,6,10.6
320,14/10/2016 07:00,2016,10,14,7,10
321,14/10/2016 08:00,2016,10,14,8,9.6
322,14/10/2016 09:00,2016,10,14,9,9.9
323,14/10/2016 10:00,2016,10,14,10,9.6
324,14/10/2016 11:00,2016,10,14,11,10.1
325,14/10/2016 12:00,2016,10,14,12,10.2
326,14/10/2016 13:00,2016,10,14,13,9.9
327,14/10/2016 14:00,2016,10,14,14,10
328,14/10/2016 15:00,2016,10,14,15,9.9
329,14/10/2016 16:00,2016,10,14,16,9.8
330,14/10/2016 17:00,2016,10,14,17,9.6
331,14/10/2016 18:00,2016,10,14,18,9.5
332,14/10/2016 19:00,2016,10,14,19,9.5
333,14/10/2016 20:00,2016,10,14,20,9.9
334,14/10/2016 21:00,2016,10,14,21,10.1
335,14/10/2016 22:00,2016,10,14,22,9.9
336,14/10/2016 23:00,2016,10,14,23,9.8
337,15/10/2016 00:00,2016,10,15,0,9.8
338,15/10/2016 01:00,2016,10,15,1,10
339,15/10/2016 02:00,2016,10,15,2,9.9
340,15/10/2016 03:00,2016,10,15,3,10.1
341,15/10/2016 04:00,2016,10,15,4,9.7
342,15/10/2016 05:00,2016,10,15,5,9.7
343,15/10/2016 06:00,2016,10,15,6,9.8
344,15/10/2016 07:00,2016,10,15,7,9.9
345,15/10/2016 08:00,2016,10,15,8,9.7
346,15/10/2016 09:00,2016,10,15,9,9.1
347,15/10/2016 10:00,2016,10,15,10,9.9
348,15/10/2016 11:00,2016,10,15,11,9.5
349,15/10/2016 12:00,2016,10,15,12,9.3
350,15/10/2016 13:00,2016,10,15,13,9.3
351,15/10/2016 14:00,2016,10,15,14,9.2
352,15/10/2016 15:00,2016,10,15,15,9.4
353,15/10/2016 16:00,2016,10,15,16,9.4
354,15/10/2016 17:00,2016,10,15,17,9.3
355,15/10/2016 18:00,2016,10,15,18,9.5
356,15/10/2016 19:00,2016,10,15,19,9.7
357,15/10/2016 20:00,2016,10,15,20,10.1
358,15/10/2016 21:00,2016,10,15,21,10.3
359,15/10/2016 22:00,2016,10,15,22,10.8
360,15/10/2016 23:00,2016,10,15,23,11.2
361,16/10/2016 00:00,2016,10,16,0,11.5
362,16/10/2016 01:00,2016,10,16,1,11.5
363,16/10/2016 02:00,2016,10,16,2,11.1
364,16/10/2016 03:00,2016,10,16,3,11.6
365,16/10/2016 04:00,2016,10,16,4,11.4
366,16/10/2016 05:00,2016,10,16,5,11.2
367,16/10/2016 06:00,2016,10,16,6,11.3
368,16/10/2016 07:00,2016,10,16,7,11.7
369,16/10/2016 08:00,2016,10,16,8,11.8
370,16/10/2016 09:00,2016,10,16,9,12.2
371,16/10/2016 10:00,2016,10,16,10,12.2
372,16/10/2016 11:00,2016,10,16,11,12.8
373,16/10/2016 12:00,2016,10,16,12,12.7
374,16/10/2016 13:00,2016,10,16,13,12.5
375,16/10/2016 14:00,2016,10,16,14,12.7
376,16/10/2016 15:00,2016,10,16,15,12
377,16/10/2016 16:00,2016,10,16,16,11.9
378,16/10/2016 17:00,2016,10,16,17,11.8
379,16/10/2016 18:00,2016,10,16,18,11.6
380,16/10/2016 19:00,2016,10,16,19,11.6
381,16/10/2016 20:00,2016,10,16,20,11.8
382,16/10/2016 21:00,2016,10,16,21,11.6
383,16/10/2016 22:00,2016,10,16,22,11.1
384,16/10/2016 23:00,2016,10,16,23,10.8
385,17/10/2016 00:00,2016,10,17,0,10.8
386,17/10/2016 01:00,2016,10,17,1,11
387,17/10/2016 02:00,2016,10,17,2,11.3
388,17/10/2016 03:00,2016,10,17,3,11.5
389,17/10/2016 04:00,2016,10,17,4,11.5
390,17/10/2016 05:00,2016,10,17,5,11.6
391,17/10/2016 06:00,2016,10,17,6,11.5
392,17/10/2016 07:00,2016,10,17,7,11.8
393,17/10/2016 08:00,2016,10,17,8,11.6
394,17/10/2016 09:00,2016,10,17,9,11.9
395,17/10/2016 10:00,2016,10,17,10,12.1
396,17/10/2016 11:00,2016,10,17,11,12.4
397,17/10/2016 12:00,2016,10,17,12,12.4
398,17/10/2016 13:00,2016,10,17,13,12.2
399,17/10/2016 14:00,2016,10,17,14,12.3
400,17/10/2016 15:00,2016,10,17,15,12.3
401,17/10/2016 16:00,2016,10,17,16,12.4
402,17/10/2016 17:00,2016,10,17,17,11.8
403,17/10/2016 18:00,2016,10,17,18,10.9
404,17/10/2016 19:00,2016,10,17,19,10.2
405,17/10/2016 20:00,2016,10,17,20,10.1
406,17/10/2016 21:00,2016,10,17,21,10.1
407,17/10/2016 22:00,2016,10,17,22,9.6
408,17/10/2016 23:00,2016,10,17,23,9.3
409,18/10/2016 00:00,2016,10,18,0,10.4
410,18/10/2016 01:00,2016,10,18,1,10.7
411,18/10/2016 02:00,2016,10,18,2,10.6
412,18/10/2016 03:00,2016,10,18,3,9.9
413,18/10/2016 04:00,2016,10,18,4,9.1
414,18/10/2016 05:00,2016,10,18,5,8
415,18/10/2016 06:00,2016,10,18,6,7.7
416,18/10/2016 07:00,2016,10,18,7,8.6
417,18/10/2016 08:00,2016,10,18,8,8.9
418,18/10/2016 09:00,2016,10,18,9,9.7
419,18/10/2016 10:00,2016,10,18,10,10.2
420,18/10/2016 11:00,2016,10,18,11,11.2
421,18/10/2016 12:00,2016,10,18,12,11.8
422,18/10/2016 13:00,2016,10,18,13,12.6
423,18/10/2016 14:00,2016,10,18,14,12.3
424,18/10/2016 15:00,2016,10,18,15,12.4
425,18/10/2016 16:00,2016,10,18,16,10.7
426,18/10/2016 17:00,2016,10,18,17,10.7
427,18/10/2016 18:00,2016,10,18,18,10.2
428,18/10/2016 19:00,2016,10,18,19,9.6
429,18/10/2016 20:00,2016,10,18,20,10.2
430,18/10/2016 21:00,2016,10,18,21,10.4
