classification,xVariable,yVariable,xAxisLabel,yStart
West Midlands,64,33718,,
West Midlands,65,34195,,
West Midlands,66,34672,,
West Midlands,67,35150,,
West Midlands,68,35722,,
West Midlands,69,36295,,
West Midlands,70,36772,,
West Midlands,71,37345,,
West Midlands,72,37843,,
West Midlands,73,38423,,
West Midlands,74,38920,,
West Midlands,75,39501,,
West Midlands,76,40164,,
West Midlands,77,40745,,
West Midlands,78,41408,,
West Midlands,79,42071,,
West Midlands,80,42818,,
West Midlands,81,43481,,
West Midlands,82,44279,,
West Midlands,83,45078,,
West Midlands,84,45796,,
West Midlands,85,46435,,
West Midlands,86,47393,,
West Midlands,87,48431,,
West Midlands,88,49708,,
West Midlands,89,51145,,
West Midlands,90,52583,,
West Midlands,91,54339,,
East,11,17212,,
East,12,17509,,
East,13,17805,,
East,14,18102,,
East,15,18547,,
East,16,18844,,
East,17,19140,,
East,18,19585,,
East,19,19882,,
East,20,20178,,
East,21,20475,,
East,22,20896,,
East,23,21177,,
East,24,21458,,
East,25,21739,,
East,26,22160,,
East,27,22441,,
East,28,22722,,
East,29,23143,,
East,30,23424,,
East,31,23705,,
East,32,24071,,
East,33,24315,,
East,34,24681,,
East,35,24925,,
East,36,25291,,
East,37,25536,,
East,38,25902,,
East,39,26268,,
East,40,26634,,
East,41,27000,,
East,42,27324,,
East,43,27647,,
East,44,27971,,
East,45,28295,,
East,46,28619,,
East,47,28942,,
East,48,29266,,
East,49,29590,,
East,50,30021,,
East,51,30345,,
East,52,30653,,
East,53,31063,,
East,54,31474,,
East,55,31782,,
East,56,32193,,
East,57,32706,,
East,58,33116,,
East,59,33527,,
East,60,33937,,
East,61,34348,,
East,62,34728,,
East,63,35204,,
East,64,35584,,
East,65,36060,,
East,66,36535,,
East,67,37011,,
East,68,37581,,
East,69,38152,,
East,70,38627,,
East,71,39198,,
East,72,39745,,
East,73,40382,,
East,74,40929,,
East,75,41567,,
East,76,42296,,
East,77,42933,,
East,78,43662,,
East,79,44391,,
East,80,45211,,
East,81,45940,,
East,82,46969,,
East,83,47997,,
East,84,48923,,
East,85,49746,,
East,86,50980,,
East,87,52317,,
East,88,53963,,
East,89,55815,,
East,90,57666,,
East,91,59929,,
London,11,20000,,
London,12,20455,,
London,13,20909,,
London,14,21364,,
London,15,22045,,
London,16,22500,,
London,17,22955,,
London,18,23636,,
London,19,24091,,
London,20,24545,,
London,21,25000,,
London,22,25593,,
London,23,25988,,
London,24,26383,,
London,25,26778,,
London,26,27371,,
London,27,27766,,
London,28,28161,,
London,29,28754,,
London,30,29149,,
London,31,29544,,
London,32,30055,,
London,33,30396,,
London,34,30907,,
London,35,31248,,
London,36,31759,,
London,37,32100,,
London,38,32611,,
London,39,33123,,
London,40,33634,,
London,41,34145,,
London,42,34614,,
London,43,35083,,
London,44,35552,,
London,45,36021,,
London,46,36490,,
London,47,36959,,
London,48,37428,,
London,49,37898,,
London,50,38523,,
London,51,38992,,
London,52,39425,,
London,53,40003,,
London,54,40581,,
London,55,41014,,
London,56,41591,,
London,57,42313,,
London,58,42891,,
London,59,43469,,
London,60,44046,,
London,61,44624,,
London,62,45244,,
London,63,46018,,
London,64,46638,,
London,65,47413,,
London,66,48188,,
London,67,48962,,
London,68,49892,,
London,69,50822,,
London,70,51596,,
London,71,52526,,
London,72,53576,,
London,73,54801,,
London,74,55852,,
London,75,57077,,
London,76,58477,,
London,77,59702,,
London,78,61102,,
London,79,62503,,
London,80,64078,,
London,81,65478,,
London,82,67566,,
London,83,69653,,
London,84,71532,,
London,85,73202,,
London,86,75707,,
London,87,78421,,
London,88,81762,,
London,89,85519,,
London,90,89277,,
London,91,93870,,
South East,11,17669,,
South East,12,17987,,
South East,13,18305,,
South East,14,18623,,
South East,15,19100,,
South East,16,19419,,
South East,17,19737,,
South East,18,20214,,
South East,19,20532,,
South East,20,20850,,
South East,21,21168,,
South East,22,21644,,
South East,23,21962,,
South East,24,22279,,
South East,25,22597,,
South East,26,23073,,
South East,27,23391,,
South East,28,23709,,
South East,29,24185,,
South East,30,24502,,
South East,31,24820,,
South East,32,25198,,
South East,33,25450,,
South East,34,25827,,
South East,35,26079,,
South East,36,26457,,
South East,37,26709,,
South East,38,27087,,
South East,39,27464,,
South East,40,27842,,
South East,41,28220,,
South East,42,28597,,
South East,43,28975,,
South East,44,29352,,
South East,45,29730,,
South East,46,30107,,
South East,47,30485,,
South East,48,30862,,
South East,49,31239,,
South East,50,31743,,
South East,51,32120,,
South East,52,32452,,
South East,53,32895,,
South East,54,33338,,
South East,55,33670,,
South East,56,34113,,
South East,57,34667,,
South East,58,35109,,
South East,59,35552,,
South East,60,35995,,
South East,61,36438,,
South East,62,36865,,
South East,63,37400,,
South East,64,37827,,
South East,65,38362,,
South East,66,38896,,
South East,67,39430,,
South East,68,40071,,
South East,69,40713,,
South East,70,41247,,
South East,71,41888,,
South East,72,42503,,
South East,73,43221,,
South East,74,43837,,
South East,75,44554,,
South East,76,45375,,
South East,77,46093,,
South East,78,46913,,
South East,79,47734,,
South East,80,48657,,
South East,81,49477,,
South East,82,50583,,
South East,83,51688,,
South East,84,52684,,
South East,85,53568,,
South East,86,54895,,
South East,87,56333,,
South East,88,58102,,
South East,89,60092,,
South East,90,62082,,
South East,91,64515,,
South West,11,16869,,
South West,12,17135,,
South West,13,17400,,
South West,14,17666,,
South West,15,18064,,
South West,16,18330,,
South West,17,18596,,
South West,18,18994,,
South West,19,19260,,
South West,20,19525,,
South West,21,19791,,
South West,22,20146,,
South West,23,20383,,
South West,24,20619,,
South West,25,20856,,
South West,26,21211,,
South West,27,21448,,
South West,28,21685,,
South West,29,22040,,
South West,30,22276,,
South West,31,22513,,
South West,32,22838,,
South West,33,23054,,
South West,34,23379,,
South West,35,23596,,
South West,36,23920,,
South West,37,24137,,
South West,38,24462,,
South West,39,24786,,
South West,40,25111,,
South West,41,25436,,
South West,42,25747,,
South West,43,26059,,
South West,44,26370,,
South West,45,26682,,
South West,46,26993,,
South West,47,27305,,
South West,48,27616,,
South West,49,27927,,
South West,50,28343,,
South West,51,28654,,
South West,52,28923,,
South West,53,29281,,
South West,54,29639,,
South West,55,29908,,
South West,56,30267,,
South West,57,30715,,
South West,58,31073,,
South West,59,31431,,
South West,60,31790,,
South West,61,32148,,
South West,62,32492,,
South West,63,32923,,
South West,64,33268,,
South West,65,33698,,
South West,66,34129,,
South West,67,34559,,
South West,68,35076,,
South West,69,35593,,
South West,70,36023,,
South West,71,36540,,
South West,72,37019,,
South West,73,37578,,
South West,74,38058,,
South West,75,38617,,
South West,76,39256,,
South West,77,39815,,
South West,78,40454,,
South West,79,41093,,
South West,80,41812,,
South West,81,42451,,
South West,82,43275,,
South West,83,44099,,
South West,84,44841,,
South West,85,45500,,
South West,86,46489,,
South West,87,47561,,
South West,88,48879,,
South West,89,50363,,
South West,90,51846,,
South West,91,53659,,
Wales,11,16638,,
Wales,12,16871,,
Wales,13,17105,,
Wales,14,17338,,
Wales,15,17688,,
Wales,16,17922,,
Wales,17,18155,,
Wales,18,18505,,
Wales,19,18738,,
Wales,20,18972,,
Wales,21,19205,,
Wales,22,19539,,
Wales,23,19761,,
Wales,24,19983,,
Wales,25,20206,,
Wales,26,20539,,
Wales,27,20761,,
Wales,28,20984,,
Wales,29,21317,,
Wales,30,21540,,
Wales,31,21762,,
Wales,32,22050,,
Wales,33,22242,,
Wales,34,22530,,
Wales,35,22722,,
Wales,36,23010,,
Wales,37,23201,,
Wales,38,23489,,
Wales,39,23777,,
Wales,40,24065,,
Wales,41,24353,,
Wales,42,24658,,
Wales,43,24962,,
Wales,44,25267,,
Wales,45,25571,,
Wales,46,25876,,
Wales,47,26180,,
Wales,48,26485,,
Wales,49,26789,,
Wales,50,27195,,
Wales,51,27500,,
Wales,52,27801,,
Wales,53,28203,,
Wales,54,28605,,
Wales,55,28906,,
Wales,56,29308,,
Wales,57,29811,,
Wales,58,30212,,
Wales,59,30614,,
Wales,60,31016,,
Wales,61,31418,,
Wales,62,31767,,
Wales,63,32204,,
Wales,64,32553,,
Wales,65,32990,,
