xVariable,yVariable,marginalTaxRate,classification,xAxisLabel,yStart,countA,,,
118000,79700,0.6,1920,,,1,,,
118500,79900,0.6,1920,,,1,,,
119000,80100,0.6,1920,,,1,,,
119500,80300,0.6,1920,,,1,,,
120000,80500,0.6,1920,,,1,,,
120500,80700,0.6,1920,,,1,,,
121000,80900,0.6,1920,,,1,,,
121500,81100,0.6,1920,,,1,,,
122000,81300,0.6,1920,,,1,,,
122500,81500,0.6,1920,,,1,,,
123000,81700,0.6,1920,,,1,,,
123500,81900,0.6,1920,,,1,,,
124000,82100,0.6,1920,,,1,,,
124500,82300,0.6,1920,,,1,,,
125000,82500,0.6,1920,,,1,,,
125000,82500,0.4,1920,,,2,,,
125500,82800,0.4,1920,,,1,,,
126000,83100,0.4,1920,,,1,,,
126500,83400,0.4,1920,,,1,,,
127000,83700,0.4,1920,,,1,,,
127500,84000,0.4,1920,,,1,,,
128000,84300,0.4,1920,,,1,,,
128500,84600,0.4,1920,,,1,,,
129000,84900,0.4,1920,,,1,,,
129500,85200,0.4,1920,,,1,,,
130000,85500,0.4,1920,,,1,,,
130500,85800,0.4,1920,,,1,,,
131000,86100,0.4,1920,,,1,,,
131500,86400,0.4,1920,,,1,,,
132000,86700,0.4,1920,,,1,,,
132500,87000,0.4,1920,,,1,,,
133000,87300,0.4,1920,,,1,,,
133500,87600,0.4,1920,,,1,,,
134000,87900,0.4,1920,,,1,,,
134500,88200,0.4,1920,,,1,,,
135000,88500,0.4,1920,,,1,,,
135500,88800,0.4,1920,,,1,,,
136000,89100,0.4,1920,,,1,,,
136500,89400,0.4,1920,,,1,,,
137000,89700,0.4,1920,,,1,,,
137500,90000,0.4,1920,,,1,,,
138000,90300,0.4,1920,,,1,,,
138500,90600,0.4,1920,,,1,,,
139000,90900,0.4,1920,,,1,,,
139500,91200,0.4,1920,,,1,,,
140000,91500,0.4,1920,,,1,,,
140500,91800,0.4,1920,,,1,,,
141000,92100,0.4,1920,,,1,,,
141500,92400,0.4,1920,,,1,,,
142000,92700,0.4,1920,,,1,,,
142500,93000,0.4,1920,,,1,,,
143000,93300,0.4,1920,,,1,,,
143500,93600,0.4,1920,,,1,,,
144000,93900,0.4,1920,,,1,,,
144500,94200,0.4,1920,,,1,,,
145000,94500,0.4,1920,,,1,,,
145500,94800,0.4,1920,,,1,,,
146000,95100,0.4,1920,,,1,,,
146500,95400,0.4,1920,,,1,,,
147000,95700,0.4,1920,,,1,,,
147500,96000,0.4,1920,,,1,,,
148000,96300,0.4,1920,,,1,,,
148500,96600,0.4,1920,,,1,,,
149000,96900,0.4,1920,,,1,,,
149500,97200,0.4,1920,,,1,,,
150000,97500,0.4,1920,,,1,,,
150000,97500,0.45,1920,,,2,,,
150500,97775,0.45,1920,,,1,,,
151000,98050,0.45,1920,,,1,,,
151500,98325,0.45,1920,,,1,,,
152000,98600,0.45,1920,,,1,,,
152500,98875,0.45,1920,,,1,,,
153000,99150,0.45,1920,,,1,,,
153500,99425,0.45,1920,,,1,,,
154000,99700,0.45,1920,,,1,,,
154500,99975,0.45,1920,,,1,,,
155000,100250,0.45,1920,,,1,,,
