classification,xVariable,yVariable
OC11,27,32983.69565217391
OC11,28,33496.65217391304
OC11,29,34266.086956521736
OC11,30,34779.04347826087
OC11,31,35292
OC11,32,35964.333333333336
OC11,33,36412.555555555555
OC11,34,37084.88888888889
OC11,35,37533.11111111111
OC11,36,38205.444444444445
OC11,37,38653.666666666664
OC11,38,39326.0
OC11,39,39998.333333333336
OC11,40,40670.666666666664
OC11,41,41343
OC11,42,42041.12903225807
OC11,43,42739.25806451613
OC11,44,43437.3870967742
OC11,45,44135.51612903226
OC11,46,44833.645161290326
OC11,47,45531.77419354839
OC11,48,46229.903225806454
OC11,49,46928.032258064515
OC11,50,47858.87096774194
OC11,51,48557
OC11,52,49220.61538461538
OC11,53,50105.4358974359
OC11,54,50990.25641025641
OC11,55,51653.8717948718
OC11,56,52538.692307692305
OC11,57,53644.71794871795
OC11,58,54529.53846153846
OC11,59,55414.35897435898
OC11,60,56299.179487179485
OC11,61,57184
OC11,62,58028.94117647059
OC11,63,59085.117647058825
OC11,64,59930.05882352941
OC11,65,60986.23529411765
OC11,66,62042.41176470588
OC11,67,63098.58823529412
OC11,68,64366.0
OC11,69,65633.41176470589
OC11,70,66689.58823529411
OC11,71,67957
OC11,72,69321.43243243243
OC11,73,70913.27027027027
OC11,74,72277.7027027027
OC11,75,73869.54054054055
OC11,76,75688.78378378379
OC11,77,77280.62162162163
OC11,78,79099.86486486487
OC11,79,80919.1081081081
OC11,80,82965.75675675676
OC11,81,84785
OC11,82,87181.69117647059
OC11,83,89578.38235294117
OC11,84,91735.4044117647
OC11,85,93652.75735294117
OC11,86,96528.78676470589
OC11,87,99644.48529411765
OC11,88,103479.19117647059
OC11,89,107793.23529411765
OC11,90,112107.2794117647
OC11,91,117380
OC212,11,26414
OC212,12,26926.18181818182
OC212,13,27438.363636363636
OC212,14,27950.545454545456
OC212,15,28718.818181818184
OC212,16,29231.0
OC212,17,29743.18181818182
OC212,18,30511.454545454544
OC212,19,31023.636363636364
OC212,20,31535.818181818184
OC212,21,32048
OC212,22,32508.434782608696
OC212,23,32815.391304347824
OC212,24,33122.34782608696
OC212,25,33429.30434782609
OC212,26,33889.739130434784
OC212,27,34196.69565217391
OC212,28,34503.65217391304
OC212,29,34964.086956521736
OC212,30,35271.04347826087
OC212,31,35578
